Frame,Score
101,0.963524
102,0.913874
103,0.875037
104,0.848564
105,0.825486
106,0.790682
107,0.757641
108,0.739965
109,0.714852
110,0.696337
111,0.670168
112,0.648863
113,0.629393
114,0.607787
115,0.596551
116,0.595934
117,0.593302
118,0.596968
119,0.593047
120,0.587461
121,0.574088
122,0.559826
123,0.54286
124,0.526146
125,0.520012
126,0.511449
127,0.511554
128,0.516223
129,0.516704
130,0.519788
131,0.515701
132,0.508554
133,0.504043
134,0.495037
135,0.480503
136,0.47121
137,0.465395
138,0.465537
139,0.471557
140,0.469454
141,0.467021
142,0.468702
143,0.469921
144,0.468509
145,0.470774
146,0.470952
147,0.471065
148,0.472522
149,0.471709
150,0.473139
151,0.472428
152,0.47307
153,0.476439
154,0.47646
155,0.477578
156,0.47832
157,0.478931
158,0.479889
159,0.481064
160,0.481916
161,0.484041
162,0.483735
163,0.485579
164,0.486272
165,0.485227
166,0.482294
167,0.483748
168,0.483403
169,0.484321
170,0.484637
171,0.485038
172,0.484557
173,0.484456
174,0.483439
175,0.483652
176,0.4841
177,0.48364
178,0.482467
179,0.483009
180,0.483419
181,0.482302
182,0.481611
183,0.482611
184,0.483145
185,0.481468
186,0.481223
187,0.48102
188,0.481514
189,0.482516
190,0.4811
191,0.479899
192,0.479414
193,0.479925
194,0.479394
195,0.47828
196,0.476976
197,0.476626
198,0.476676
199,0.473443
200,0.472032
201,0.47173
202,0.472735
203,0.473479
204,0.477166
205,0.473161
206,0.483381
207,0.485269
208,0.487309
209,0.480668
210,0.470443
211,0.475884
212,0.476534
213,0.476275
214,0.475862
215,0.476367
216,0.474988
217,0.481163
218,0.476036
219,0.473562
220,0.479473
221,0.482042
222,0.470873
223,0.473119
224,0.471369
225,0.476036
226,0.503672
227,0.477207
228,0.472951
229,0.472181
230,0.471739
231,0.47153
232,0.470716
233,0.4715
234,0.471474
235,0.473672
236,0.474724
237,0.474291
238,0.47514
239,0.476074
240,0.475841
241,0.476384
242,0.477902
243,0.478165
244,0.478138
245,0.478332
246,0.478217
247,0.478186
248,0.478325
249,0.478984
250,0.478944
251,0.47843
252,0.479003
253,0.478512
254,0.478648
255,0.477934
256,0.478744
257,0.477627
258,0.477931
259,0.477723
260,0.477226
